sample_id	Age	Sex	pair_name	Path	Sacrifice_Date	Nuclei_Dissociation_Date
20210319-NMKE16_5F	E16.5	F	E16.5_1	/diskmnt/Projects/Users/rliu/Projects/normal_mouse_kidney_development/snRNA_ATAC_combo/Seurat/without_SoupX_ambientRNAremoval/out/20210319-NMKE16_5F/20210319-NMKE16_5F_processed_multiomic.rds	20210319	20210324
20220130-E16_5F	E16.5	F	E16.5_2	/diskmnt/Projects/Users/rliu/Projects/normal_mouse_kidney_development/snRNA_ATAC_combo/Seurat/without_SoupX_ambientRNAremoval/out/20220130-E16_5F/20220130-E16_5F_processed_multiomic.rds	20220130	20220210
20210218-NMKE16_5M	E16.5	M	E16.5_1	/diskmnt/Projects/Users/rliu/Projects/normal_mouse_kidney_development/snRNA_ATAC_combo/Seurat/without_SoupX_ambientRNAremoval/out/20210218-NMKE16_5M/20210218-NMKE16_5M_processed_multiomic.rds	20210218	20210304
20220130-E16_5M	E16.5	M	E16.5_2	/diskmnt/Projects/Users/rliu/Projects/normal_mouse_kidney_development/snRNA_ATAC_combo/Seurat/without_SoupX_ambientRNAremoval/out/20220130-E16_5M/20220130-E16_5M_processed_multiomic.rds	20220130	20220210
20210125-NMK0F	P0	F	P0_1	/diskmnt/Projects/Users/rliu/Projects/normal_mouse_kidney_development/snRNA_ATAC_combo/Seurat/without_SoupX_ambientRNAremoval/out/20210125-NMK0F/20210125-NMK0F_processed_multiomic.rds	20210125	20210303
20220129-NMK0F	P0	F	P0_2	/diskmnt/Projects/Users/rliu/Projects/normal_mouse_kidney_development/snRNA_ATAC_combo/Seurat/without_SoupX_ambientRNAremoval/out/20220129-NMK0F/20220129-NMK0F_processed_multiomic.rds	20220129	20220210
20210125-NMK0M	P0	M	P0_1	/diskmnt/Projects/Users/rliu/Projects/normal_mouse_kidney_development/snRNA_ATAC_combo/Seurat/without_SoupX_ambientRNAremoval/out/20210125-NMK0M/20210125-NMK0M_processed_multiomic.rds	20210125	20210303
20220129-NMK0M	P0	M	P0_2	/diskmnt/Projects/Users/rliu/Projects/normal_mouse_kidney_development/snRNA_ATAC_combo/Seurat/without_SoupX_ambientRNAremoval/out/20220129-NMK0M/20220129-NMK0M_processed_multiomic.rds	20220129	20220210
20210228-NMK3F	W3	F	W3_1	/diskmnt/Projects/Users/rliu/Projects/normal_mouse_kidney_development/snRNA_ATAC_combo/Seurat/without_SoupX_ambientRNAremoval/out/20210228-NMK3F/20210228-NMK3F_processed_multiomic.rds	20210228	20210405
20210419-NMK3F	W3	F	W3_2	/diskmnt/Projects/Users/rliu/Projects/normal_mouse_kidney_development/snRNA_ATAC_combo/Seurat/without_SoupX_ambientRNAremoval/out/20210419-NMK3F/20210419-NMK3F_processed_multiomic.rds	20210419	20211014
GPAD-20210419-NMK3F2	W3	F	W3_3	/diskmnt/Projects/Users/rliu/Projects/normal_mouse_kidney_development/snRNA_ATAC_combo/Seurat/without_SoupX_ambientRNAremoval/out/GPAD-20210419-NMK3F2/GPAD-20210419-NMK3F2_processed_multiomic.rds	20210419	20220111
20201201-NMK3M	W3	M	W3_1	/diskmnt/Projects/Users/rliu/Projects/normal_mouse_kidney_development/snRNA_ATAC_combo/Seurat/without_SoupX_ambientRNAremoval/out/20201201-NMK3M/20201201-NMK3M_processed_multiomic.rds	20201201	20210126
20210419-NMK3M	W3	M	W3_2	/diskmnt/Projects/Users/rliu/Projects/normal_mouse_kidney_development/snRNA_ATAC_combo/Seurat/without_SoupX_ambientRNAremoval/out/20210419-NMK3M/20210419-NMK3M_processed_multiomic.rds	20210419	20211014
GPAD-20210419-NMK3M2	W3	M	W3_3	/diskmnt/Projects/Users/rliu/Projects/normal_mouse_kidney_development/snRNA_ATAC_combo/Seurat/without_SoupX_ambientRNAremoval/out/GPAD-20210419-NMK3M2/GPAD-20210419-NMK3M2_processed_multiomic.rds	20210419	20220111
20210129-AKICT3F	W12	F	W12_1	/diskmnt/Projects/Users/rliu/Projects/normal_mouse_kidney_development/snRNA_ATAC_combo/Seurat/without_SoupX_ambientRNAremoval/out/20210129-AKICT3F/20210129-AKICT3F_processed_multiomic.rds	20210129	20210311
20210423-NMK12F1	W12	F	W12_2	/diskmnt/Projects/Users/rliu/Projects/normal_mouse_kidney_development/snRNA_ATAC_combo/Seurat/without_SoupX_ambientRNAremoval/out/20210423-NMK12F1/20210423-NMK12F1_processed_multiomic.rds	20210423	20210510
GPAD-20210423-NMK12F2	W12	F	W12_3	/diskmnt/Projects/Users/rliu/Projects/normal_mouse_kidney_development/snRNA_ATAC_combo/Seurat/without_SoupX_ambientRNAremoval/out/GPAD-20210423-NMK12F2/GPAD-20210423-NMK12F2_processed_multiomic.rds	20210423	20220111
20210129-AKICT3M	W12	M	W12_1	/diskmnt/Projects/Users/rliu/Projects/normal_mouse_kidney_development/snRNA_ATAC_combo/Seurat/without_SoupX_ambientRNAremoval/out/20210129-AKICT3M/20210129-AKICT3M_processed_multiomic.rds	20210129	20210310
20210423-NMK12M1	W12	M	W12_2	/diskmnt/Projects/Users/rliu/Projects/normal_mouse_kidney_development/snRNA_ATAC_combo/Seurat/without_SoupX_ambientRNAremoval/out/20210423-NMK12M1/20210423-NMK12M1_processed_multiomic.rds	20210423	20210510
GPAD-20210423-NMK12M2	W12	M	W12_3	/diskmnt/Projects/Users/rliu/Projects/normal_mouse_kidney_development/snRNA_ATAC_combo/Seurat/without_SoupX_ambientRNAremoval/out/GPAD-20210423-NMK12M2/GPAD-20210423-NMK12M2_processed_multiomic.rds	20210423	20220111
20201213-NMK52F	W52	F	W52_1	/diskmnt/Projects/Users/rliu/Projects/normal_mouse_kidney_development/snRNA_ATAC_combo/Seurat/without_SoupX_ambientRNAremoval/out/20201213-NMK52F/20201213-NMK52F_processed_multiomic.rds	20201213	20210304
GPAD-20210422-NMK52F1	W52	F	W52_2	/diskmnt/Projects/Users/rliu/Projects/normal_mouse_kidney_development/snRNA_ATAC_combo/Seurat/without_SoupX_ambientRNAremoval/out/GPAD-20210422-NMK52F1/GPAD-20210422-NMK52F1_processed_multiomic.rds	20210422	20220106
20210422-NMK52F2	W52	F	W52_3	/diskmnt/Projects/Users/rliu/Projects/normal_mouse_kidney_development/snRNA_ATAC_combo/Seurat/without_SoupX_ambientRNAremoval/out/20210422-NMK52F2/20210422-NMK52F2_processed_multiomic.rds	20210422	20210503
20201213-NMK52M	W52	M	W52_1	/diskmnt/Projects/Users/rliu/Projects/normal_mouse_kidney_development/snRNA_ATAC_combo/Seurat/without_SoupX_ambientRNAremoval/out/20201213-NMK52M/20201213-NMK52M_processed_multiomic.rds	20201213	20210304
GPAD-20210422-NMK52M1	W52	M	W52_2	/diskmnt/Projects/Users/rliu/Projects/normal_mouse_kidney_development/snRNA_ATAC_combo/Seurat/without_SoupX_ambientRNAremoval/out/GPAD-20210422-NMK52M1/GPAD-20210422-NMK52M1_processed_multiomic.rds	20210422	20220106
20210422-NMK52M2	W52	M	W52_3	/diskmnt/Projects/Users/rliu/Projects/normal_mouse_kidney_development/snRNA_ATAC_combo/Seurat/without_SoupX_ambientRNAremoval/out/20210422-NMK52M2/20210422-NMK52M2_processed_multiomic.rds	20210422	20210503
20210908-NMK92F1	W92	F	W92_1	/diskmnt/Projects/Users/rliu/Projects/normal_mouse_kidney_development/snRNA_ATAC_combo/Seurat/without_SoupX_ambientRNAremoval/out/20210908-NMK92F1/20210908-NMK92F1_processed_multiomic.rds	20210908	20210909
20210908-NMK92F2	W92	F	W92_2	/diskmnt/Projects/Users/rliu/Projects/normal_mouse_kidney_development/snRNA_ATAC_combo/Seurat/without_SoupX_ambientRNAremoval/out/20210908-NMK92F2/20210908-NMK92F2_processed_multiomic.rds	20210908	20210909
GPAD-20220124-NMK92F2	W92	F	W92_3	/diskmnt/Projects/Users/rliu/Projects/normal_mouse_kidney_development/snRNA_ATAC_combo/Seurat/without_SoupX_ambientRNAremoval/out/GPAD-20220124-NMK92F2/GPAD-20220124-NMK92F2_processed_multiomic.rds	20220124	20220125
20210907-NMK92M1	W92	M	W92_1	/diskmnt/Projects/Users/rliu/Projects/normal_mouse_kidney_development/snRNA_ATAC_combo/Seurat/without_SoupX_ambientRNAremoval/out/20210907-NMK92M1/20210907-NMK92M1_processed_multiomic.rds	20210907	20210909
20210907-NMK92M2	W92	M	W92_2	/diskmnt/Projects/Users/rliu/Projects/normal_mouse_kidney_development/snRNA_ATAC_combo/Seurat/without_SoupX_ambientRNAremoval/out/20210907-NMK92M2/20210907-NMK92M2_processed_multiomic.rds	20210907	20210909
GPAD-20220124-NMK92M1	W92	M	W92_3	/diskmnt/Projects/Users/rliu/Projects/normal_mouse_kidney_development/snRNA_ATAC_combo/Seurat/without_SoupX_ambientRNAremoval/out/GPAD-20220124-NMK92M1/GPAD-20220124-NMK92M1_processed_multiomic.rds	20220124	20220125
